,student_id,age,gender,country,device_type,internet_speed_mbps,study_hours_weekly,login_frequency_weekly,avg_session_duration_min,video_watch_time_min,assignments_submitted,forum_posts,quiz_attempts,avg_quiz_score,attendance_rate,engagement_score,final_grade,dropout
47645,47646,24,Female,USA,Tablet,46.0,11.86,11,32.29674697581848,412.63101720980194,1,13,4,67.77,0.88,6.62115508604901,38.01261738817784,0
47646,47647,22,Male,India,Laptop,81.7,14.79,13,40.96680917316392,289.987886727685,3,6,7,60.88,0.91,7.886939433638425,31.309965239018982,0
47648,47649,36,Male,Canada,Laptop,31.79,15.38,3,33.30199558037155,166.0571996920948,9,10,3,71.23,0.52,7.844285998460474,33.375998218264094,1
47649,47650,20,Female,India,Mobile,57.41,10.79,7,35.89734978113122,261.0801129950063,0,0,5,59.33,0.56,5.542400564975031,29.059592307975024,1
47652,47653,43,Female,USA,Laptop,35.73,11.18,7,5.697027974752686,93.66158622502851,0,7,7,81.7,0.46,5.222307931125142,40.8187836345765,1
47655,47656,20,Male,India,Tablet,19.87,12.71,7,42.57708517607047,451.2911092407162,1,8,7,69.48,0.52,7.669455546203582,30.23322468721666,1
47656,47657,21,Female,Canada,Mobile,59.62,10.5,12,20.7558205143472,307.787683499094,4,1,4,62.66,0.82,6.288938417495469,34.56097512516717,0
47657,47658,20,Male,USA,Mobile,31.15,12.11,2,41.41818570720629,151.27583579626676,7,7,7,75.17,0.65,7.189379178981334,38.48155010372884,0
47659,47660,32,Male,USA,Laptop,61.5,11.23,5,18.738822290158502,187.20053315206357,0,8,2,77.33,0.69,4.705002665760318,34.7504049302255,0
47660,47661,29,Male,Canada,Tablet,39.57,7.11,8,34.30109990427387,268.35713362209634,7,1,6,67.36,0.92,6.074785668110482,30.878485289818023,0
47661,47662,49,Female,USA,Tablet,37.91,13.88,11,16.494347974330967,276.29817211344243,4,14,2,53.5,0.42,6.745490860567212,25.64994376662428,1
47663,47664,48,Female,Canada,Laptop,52.96,4.43,7,62.33651139220555,418.1404584056537,5,2,6,67.89,0.48,5.619702292028268,37.50420261711314,1
47666,47667,28,Male,India,Mobile,35.84,8.68,10,44.94768219350173,192.8235919310447,3,9,1,102.12,0.43,4.368117959655224,61.38738787847021,1
47667,47668,30,Male,USA,Tablet,69.0,7.92,5,64.26143351708878,360.2290595290769,4,5,3,51.42,0.72,5.5771452976453855,16.361915093831044,0
47668,47669,29,Male,USA,Tablet,49.04,16.49,2,48.66276599508711,119.6812070594636,2,10,6,88.95,0.87,7.145406035297317,49.61217888058276,0
47669,47670,23,Female,USA,Tablet,16.0,2.22,6,13.346557569258426,422.8841869340324,8,13,6,100.88,0.79,5.580420934670162,59.95285276941343,0
47671,47672,40,Female,Canada,Tablet,64.18,12.52,3,45.895598788863744,305.05260634551144,0,14,3,67.15,0.56,5.881263031727556,37.99210860818076,1
47673,47674,36,Male,Canada,Tablet,57.11,8.88,4,47.07551482656387,126.95338187005154,9,11,4,65.55,0.75,5.8987669093502575,39.26896219822551,0
47675,47676,44,Male,India,Mobile,26.48,5.64,14,59.08381736552002,349.70874422921906,5,6,2,50.21,0.88,4.840543721146096,25.84967519360783,0
47679,47680,44,Male,USA,Tablet,51.32,15.37,4,39.95621487704828,55.497505007376674,4,12,2,73.07,0.74,6.088487525036883,31.62921500631515,0
47680,47681,44,Male,India,Mobile,34.74,16.27,13,34.69485340638317,330.8744836900194,9,13,7,76.81,0.6,9.735372418450098,44.62493842987658,0
47682,47683,47,Female,India,Tablet,26.25,12.53,14,55.4352030566908,296.9681552317526,9,12,7,89.36,0.55,8.443840776158762,45.82456431637719,1
47686,47687,20,Female,USA,Tablet,53.42,1.61,14,37.86746440868629,340.53581839491227,1,4,2,71.37,0.94,2.7856790919745613,36.88973921688704,0
47688,47689,37,Male,India,Laptop,67.53,4.63,4,50.34409416444262,18.45692388270373,7,9,3,97.89,0.65,3.4812846194135187,50.30681188902596,0
47689,47690,24,Male,Canada,Tablet,38.85,8.28,3,47.93891182021794,253.60389576625383,7,4,1,53.7,0.68,5.352019478831269,21.12511641193436,0
47690,47691,36,Male,India,Tablet,67.9,15.7,10,18.974592410138246,223.1234332830989,6,7,1,53.77,0.85,7.2256171664154945,29.17323988072093,0
47695,47696,29,Female,India,Tablet,33.26,17.46,4,49.38721067209434,213.4190708393131,0,9,2,62.98,0.81,6.705095354196566,33.1302150205142,0
47696,47697,38,Female,India,Mobile,41.15,8.92,8,43.062299900466826,266.60623351600753,9,4,7,98.29,0.54,7.209031167580037,51.70863839177919,1
47698,47699,24,Female,India,Laptop,35.78,5.62,10,32.05923837276761,81.20832657462904,6,6,1,78.33,0.65,3.4920416328731454,40.25162076311498,0
47699,47700,19,Male,USA,Tablet,59.43,8.04,10,35.18949015204067,322.06193598807954,3,10,7,69.42,0.9,6.022309679940397,35.38264949328752,0
47701,47702,47,Male,USA,Mobile,72.84,9.43,3,57.59943919606617,222.98831772134255,9,10,1,57.37,0.48,5.943941588606712,34.10652841083414,1
47702,47703,42,Female,India,Mobile,46.6,11.98,11,58.90578259172284,208.5929140115956,6,6,7,54.26,0.95,7.236964570057978,34.54061299060494,0
47703,47704,32,Male,Canada,Mobile,44.25,10.53,12,40.11502381937217,218.02007390692933,7,11,4,81.13,0.5,6.449100369534647,47.51740308694914,1
47704,47705,32,Female,Canada,Mobile,22.33,6.87,14,46.9469513515351,202.1528514742244,9,5,6,66.45,0.74,6.071764257371122,38.89024723321243,0
47705,47706,49,Male,Canada,Tablet,48.79,11.94,1,17.484211705070518,478.8058592089749,8,14,5,62.9,0.87,8.576029296044874,35.65728183746901,0
47706,47707,27,Female,India,Laptop,67.03,10.84,6,52.61576821625577,93.267814160129,0,1,4,67.13,0.87,4.518339070800645,43.6794835013504,0
47707,47708,34,Female,India,Laptop,42.13,16.58,10,41.31548228495564,94.65555424469446,3,14,3,75.03,0.5,6.647277771223472,37.97606924703357,1
47711,47712,49,Female,India,Mobile,55.85,16.55,13,35.652563061041704,211.5027321260019,2,5,3,74.25,0.66,7.022513660630009,50.06291710377398,0
47712,47713,46,Male,India,Laptop,54.66,9.63,8,51.17359112553165,67.68130576344359,2,8,2,78.71,0.64,4.0274065288172185,38.91824843439192,0
47713,47714,32,Male,Canada,Tablet,36.47,13.53,4,29.01754830731321,313.2969577970923,9,4,6,86.08,0.6,8.62548478898546,45.70632682423842,0
47717,47718,26,Male,USA,Laptop,6.45,3.82,13,39.70375940851878,443.9368707449846,9,5,7,55.75,0.94,6.565684353724923,26.007692295895986,0
47721,47722,20,Female,USA,Tablet,32.56,11.31,2,28.84667236871674,252.2534213249982,2,4,2,67.79,0.68,5.454267106624992,40.27419814669177,0
47722,47723,36,Male,Canada,Laptop,69.42,2.05,12,41.15665401474844,173.1661716880336,7,10,3,95.31,0.62,3.4808308584401684,43.105239846236,0
47725,47726,34,Female,India,Tablet,42.38,7.95,8,44.19813516302691,262.82357391809586,0,11,6,71.17,0.5,4.899117869590479,37.08129210885661,1
47729,47730,28,Female,USA,Mobile,37.02,7.05,8,47.82774398368263,14.507020088344518,8,11,3,84.58,0.8,4.387535100441722,39.10783960984753,0
47730,47731,45,Female,USA,Tablet,62.14,14.11,2,33.21797224540302,362.31989960826417,3,4,3,78.46,0.4,7.244599498041319,40.61002722697432,1
47733,47734,29,Male,India,Tablet,55.5,11.82,6,47.82776266144832,500.35689499051057,3,0,7,101.02,0.72,8.047784474952552,56.50042326187014,0
47734,47735,21,Female,Canada,Laptop,58.83,13.88,2,34.14014474041076,269.01435283448933,1,10,5,92.21,0.8,6.709071764172447,47.00584252429488,0
47735,47736,42,Female,India,Laptop,47.17,5.15,14,45.95826490956544,252.3707948242254,6,8,7,58.09,0.79,5.406853974121128,37.07687823782295,0
47737,47738,32,Male,USA,Laptop,29.01,5.16,3,32.79067251247417,238.95573504378743,1,9,3,86.58,0.45,3.5427786752189374,49.850119068002016,1
47738,47739,28,Female,Canada,Laptop,52.09,6.46,10,14.885779427802618,244.7142052941831,5,0,1,81.21,0.96,4.361571026470916,39.0140182856717,0
47739,47740,47,Female,India,Mobile,53.7,5.89,1,37.02150689293028,507.8510098276428,7,14,4,86.12,0.96,6.506255049138214,50.847098993213336,0
47740,47741,46,Female,India,Laptop,24.76,13.36,11,55.9363779919065,152.1692743769306,9,2,5,66.59,0.82,7.568846371884653,39.75779591126309,0
47741,47742,25,Female,Canada,Tablet,75.98,8.33,4,48.59638886904604,510.2849403911042,2,5,3,53.26,0.85,6.050424701955521,22.81200165824044,0
47743,47744,29,Female,Canada,Mobile,44.57,10.65,2,42.47343832062894,463.71424638155935,6,9,3,64.7,0.75,7.313571231907797,39.81840202338892,0
47744,47745,20,Male,India,Mobile,62.1,6.27,11,26.436364507453067,178.766698563631,2,13,4,86.9,0.64,3.9748334928181546,46.52358643281576,0
47745,47746,38,Female,Canada,Mobile,40.67,10.29,11,35.771759554613865,392.37321059907504,9,1,7,83.68,0.88,8.248866052995375,36.5385836679118,0
47747,47748,21,Female,India,Mobile,64.44,14.37,12,25.03949765760333,202.58385676585945,8,1,4,64.75,0.95,7.723919283829297,33.10170525280038,0
47752,47753,49,Male,Canada,Mobile,43.43,11.03,13,55.52191171085326,383.7688267407373,4,0,2,93.15,0.85,6.427844133703686,45.77792320993838,0
47756,47757,27,Female,USA,Laptop,42.4,12.14,7,9.974607424257156,134.23054509483222,7,9,3,69.3,0.64,6.313152725474161,35.04848306354664,0
47757,47758,43,Female,Canada,Laptop,45.46,8.08,11,37.21504360742332,322.2363073744603,2,3,7,71.18,0.41,5.835181536872302,30.8204320960681,1
47762,47763,24,Female,India,Tablet,29.21,11.07,4,48.51474119424663,304.4918117077904,8,0,6,51.57,0.48,7.643459058538952,22.584188418620304,1
47765,47766,20,Female,Canada,Tablet,23.26,10.13,7,4.375804503590679,234.24828019450828,3,11,4,84.23,0.69,5.610241400972542,35.71627096385758,0
47769,47770,46,Female,USA,Tablet,46.07,15.19,10,45.82281240382671,348.5704111218958,8,11,2,65.7,0.44,8.29985205560948,40.40260770666279,1
47771,47772,22,Male,Canada,Laptop,60.57,13.61,3,43.814459660716985,441.5493522052907,9,6,1,76.2,0.46,8.290746761026453,41.36048114297657,1
47772,47773,35,Female,USA,Laptop,41.21,14.39,9,32.86565005903504,441.9359191671298,2,2,5,76.0,0.72,7.926679595835649,47.07908710546311,0
47774,47775,29,Female,Canada,Laptop,54.17,0.1,9,30.866606760058943,308.3392658467817,9,0,1,62.04,0.85,3.571696329233909,28.01584625286047,0
47779,47780,33,Male,India,Mobile,38.33,12.19,5,20.60733089835588,292.5079032189517,4,4,7,57.46,0.99,7.319539516094759,28.799884929938877,0
47782,47783,34,Female,Canada,Tablet,22.85,19.19,1,48.35347905517092,304.4546162630218,5,1,2,70.52,0.7,8.67927308131511,39.783731613986205,0
47784,47785,20,Male,Canada,Laptop,1.56,5.8,9,24.09283979281564,286.6987283777668,1,4,7,62.23,0.83,4.773493641888834,27.719047229283262,0
47785,47786,42,Female,India,Mobile,70.92,10.74,14,46.20744861170037,328.80276407461724,0,9,5,75.05,0.49,5.866013820373087,33.05515068560837,1
47787,47788,44,Female,Canada,Mobile,19.14,5.34,10,47.87207111063222,227.2813934285037,9,12,6,65.35,0.8,5.738406967142518,30.4786354815406,0
47791,47792,34,Female,India,Mobile,69.54,16.56,8,28.961448673299568,83.29699973531223,4,12,4,76.27,0.47,6.98448499867656,37.90081079924893,1
47795,47796,49,Male,India,Mobile,64.62,10.1,5,49.070736588154055,254.26217214193557,3,1,5,56.06,0.98,5.901310860709678,27.21543498297397,0
47796,47797,46,Female,USA,Laptop,31.88,-0.34,7,57.702759464765776,201.7216867057812,7,7,6,91.87,0.47,3.5066084335289065,48.73681244933057,1
47798,47799,32,Female,Canada,Mobile,64.01,18.82,9,38.437040909364505,338.24397304677893,5,9,6,91.45,0.93,9.537219865233894,47.32259545950975,0
47799,47800,30,Male,Canada,Tablet,73.59,9.68,6,59.74408562601162,266.9531278414941,9,6,2,74.33,0.64,6.438765639207471,40.74511238475659,0
47800,47801,40,Male,India,Tablet,54.73,1.15,5,42.41677088112207,204.52187186393957,3,4,3,71.56,0.63,2.5676093593196976,37.52125828457167,0
47802,47803,48,Female,USA,Laptop,53.55,10.71,3,26.658370201262507,301.9640173489813,8,14,6,50.11,0.48,7.522820086744907,29.795727880161152,1
47805,47806,21,Female,Canada,Tablet,67.19,5.41,2,53.13968940603418,383.4996106003874,3,1,7,59.83,0.81,5.540498053001938,31.479616235050525,0
47806,47807,38,Male,India,Tablet,67.95,16.19,13,42.21629181672853,298.1265925620488,3,5,5,79.71,0.69,7.947632962810244,41.55821761381844,0
47807,47808,25,Male,USA,Laptop,26.16,14.76,3,30.720779089105392,241.50959834942847,3,9,3,83.72,0.87,6.835547991747141,45.988007370332944,0
47808,47809,48,Female,Canada,Tablet,43.25,10.69,9,34.86188291985929,298.9242194421924,9,6,2,87.26,0.73,6.901621097210962,47.88109667108275,0
47809,47810,45,Male,Canada,Laptop,56.82,5.43,12,34.234437605272134,479.157885101106,1,14,6,53.77,0.9,5.42478942550553,34.333211395642984,0
47812,47813,20,Male,India,Tablet,60.05,12.34,6,35.069528850387584,243.04242155656743,1,14,5,58.62,0.94,6.117212107782837,31.482069684189007,0
47813,47814,41,Male,USA,Mobile,55.11,6.27,4,-2.4253343238452274,138.75934377162824,1,8,4,45.27,0.49,3.574796718858141,14.412487530680156,1
47816,47817,44,Female,Canada,Laptop,36.56,8.81,2,50.936963632047735,537.6945383806958,4,10,1,72.54,0.85,6.331472691903479,35.19379489261966,0
47819,47820,31,Female,Canada,Laptop,58.59,14.23,5,50.8871619161138,119.58759689999393,3,2,6,74.78,0.8,6.666937984499969,46.20377889246296,0
47821,47822,32,Male,India,Tablet,34.92,7.34,5,27.520352405799358,464.0589490977144,6,4,7,71.26,0.93,7.122294745488572,42.067015458685376,0
47823,47824,44,Female,USA,Laptop,36.51,8.31,1,51.44224951915466,225.89495054772695,8,7,5,69.54,0.61,6.222474752738634,32.56777432931247,0
47824,47825,32,Male,India,Mobile,23.71,9.98,11,36.76242789227961,413.07994820135127,3,4,4,62.14,0.8,6.459399741006757,30.79721601181272,0
47825,47826,29,Female,Canada,Laptop,53.01,16.39,14,45.42496030519008,228.89809439114703,5,3,5,50.35,0.99,8.061490471955736,23.28479368600882,0
47826,47827,43,Male,Canada,Laptop,44.27,13.91,9,29.246769520317187,334.0492720932272,1,5,3,65.5,0.42,6.6432463604661365,39.30806507766784,1
47831,47832,39,Male,Canada,Mobile,42.91,7.36,1,18.90606195351672,279.95182356580995,2,8,4,65.64,0.8,4.8077591178290495,30.905552828154978,0
47832,47833,32,Female,USA,Mobile,49.37,8.35,3,73.11091969053848,388.6570410994915,2,7,3,83.19,0.99,5.4482852054974575,40.09700015583529,0
47837,47838,39,Male,India,Tablet,53.45,2.76,11,62.56563970550279,320.4598368250835,1,5,3,73.67,0.47,3.230299184125418,40.696187646137176,1
47838,47839,36,Male,USA,Laptop,51.02,17.87,4,27.733646544658978,343.7895573563692,6,14,5,89.81,0.75,9.279947786781849,48.26106882623926,0
47840,47841,30,Female,USA,Laptop,43.95,4.8,10,59.58283550246601,337.53199939518635,8,2,4,67.01,0.52,5.527659996975932,45.60347963179745,1
47842,47843,34,Female,USA,Tablet,62.36,14.84,8,51.97101057730431,305.3763490544666,2,4,3,83.45,0.72,6.978881745272332,37.194121347258765,0
47845,47846,25,Male,India,Laptop,47.46,6.27,3,42.93199533652625,133.60674671435467,6,4,7,52.23,0.93,5.149033733571773,29.81293048316802,0
47848,47849,35,Male,India,Tablet,34.04,11.03,4,20.19659984082456,274.4442820845345,9,8,7,61.98,0.84,7.881221410422673,38.21190112053705,0
47849,47850,19,Male,Canada,Tablet,33.21,10.8,8,43.71786456095843,141.84649424208305,2,1,5,64.34,0.88,5.349232471210415,37.0386991684969,0
47852,47853,43,Male,Canada,Mobile,54.98,9.51,14,37.19282560718424,323.3052430934934,3,3,2,71.55,0.76,5.469526215467468,39.29785092578327,0
47853,47854,19,Female,USA,Laptop,49.92,10.94,11,18.612620721219148,279.41050186558823,8,7,6,73.05,0.5,7.47905250932794,33.37400412008951,1
47855,47856,18,Male,Canada,Mobile,86.08,6.37,6,32.87190228717975,402.36310007526606,7,0,7,78.11,0.42,6.72281550037633,34.603141005737136,1
47856,47857,35,Male,USA,Tablet,68.1,8.04,3,27.6683678002715,60.0172185565724,5,7,2,78.06,0.6,4.112086092782862,35.0908082960803,0
47857,47858,38,Male,USA,Tablet,32.36,7.73,3,49.13432696246633,482.8399684453366,4,3,6,70.77,0.85,6.733199842226682,33.13800442197065,0
47858,47859,44,Female,India,Tablet,26.01,7.61,1,54.269986635529214,276.7116707513163,3,11,4,71.01,0.71,5.066558353756581,30.470468289862566,0
47859,47860,48,Male,USA,Mobile,45.11,11.76,8,74.51398596418272,166.9954864405998,8,9,6,52.88,0.51,7.162977432202999,33.351118586295414,1
47860,47861,43,Female,Canada,Mobile,44.94,12.73,8,44.11174362662887,312.14417083854045,0,5,3,76.88,0.79,5.979720854192703,42.93639993892255,0
47861,47862,47,Female,USA,Mobile,76.48,6.04,13,50.76534035531774,396.60390745844666,7,5,4,52.46,0.9,5.995019537292233,29.25690988420612,0
47864,47865,34,Female,India,Mobile,54.49,7.27,10,29.637017502703863,428.87901824809785,7,10,6,41.93,0.83,6.92539509124049,23.84616858251926,0
47866,47867,24,Male,Canada,Tablet,28.56,14.15,4,37.46959833681555,339.966880826662,4,13,7,60.87,0.57,8.14483440413331,30.02096756326553,1
47868,47869,24,Female,USA,Tablet,44.05,3.58,3,40.34111574270202,121.97650860246912,1,4,6,77.99,0.4,3.0838825430123458,39.28097280472719,1
47869,47870,19,Female,Canada,Laptop,33.17,8.44,4,39.63863198476081,281.515556783402,7,2,7,69.0,0.49,6.73957778391701,33.74260798359589,1
47870,47871,22,Female,USA,Tablet,17.14,10.31,4,61.87002610144031,391.7369343984991,4,13,5,69.55,0.47,6.851684671992495,38.735360718493226,1
47871,47872,31,Female,USA,Tablet,25.28,12.05,7,33.262233409233765,197.90352197075543,4,4,4,51.28,0.67,6.204517609853777,33.84132239997659,0
47872,47873,25,Male,USA,Tablet,53.17,7.92,12,32.883366813053456,336.2273599685626,3,13,6,50.11,0.53,5.857136799842812,24.082103276059502,1
47873,47874,46,Male,India,Laptop,83.01,13.7,12,77.66927239242321,238.9598682233033,6,14,1,85.33,0.8,6.704799341116516,46.07303739351266,0
47874,47875,29,Male,Canada,Tablet,64.48,5.71,5,22.67391833667891,105.20477117439958,6,11,5,74.27,0.48,4.439023855871998,48.8388047428382,1
47875,47876,24,Female,India,Mobile,65.88,14.02,7,31.471536651220624,75.37214392668628,2,12,4,93.6,0.76,5.782860719633431,41.95803388392463,0
47876,47877,23,Female,USA,Tablet,59.35,5.19,7,46.15010467624002,413.035594775536,1,2,5,73.9,0.4,4.82217797387768,45.42060828918069,1
47878,47879,39,Female,India,Mobile,32.07,7.31,10,53.456525148719535,325.57095770143246,1,6,2,64.34,0.74,4.420854788507162,38.597802060336704,0
47879,47880,29,Male,India,Mobile,33.66,2.45,1,58.152804929881306,295.7268779955288,2,2,1,50.4,0.59,2.813634389977644,27.332517770280266,1
47881,47882,33,Female,India,Mobile,44.26,11.62,6,32.567590480399105,364.9628145121892,0,0,6,72.48,0.63,6.5108140725609465,36.9271710890545,0
47882,47883,18,Male,Canada,Mobile,72.71,7.42,10,43.172190460998415,285.1122369904593,8,12,4,93.86,0.87,6.051561184952296,60.12922465304444,0
47884,47885,20,Female,Canada,Laptop,43.81,7.92,8,33.541183378631324,315.5483418042597,0,6,6,86.2,0.91,5.153741709021299,46.04001620874189,0
47885,47886,23,Female,Canada,Mobile,57.37,9.86,9,9.860769735818137,331.1043484785164,5,3,4,54.05,0.49,6.413521742392581,26.312456257908757,1
47887,47888,49,Male,India,Laptop,34.13,12.22,14,47.539491707768896,291.45134579946745,2,9,1,64.95,0.57,5.723256728997337,38.92071796440777,1
47890,47891,39,Male,Canada,Mobile,65.9,13.17,12,29.592055177876443,327.275005318142,3,14,1,63.65,0.94,6.38737502659071,34.29786996534303,0
47892,47893,25,Male,Canada,Mobile,21.6,6.34,14,34.56320664022735,546.3011046383039,4,4,3,82.8,0.52,6.0335055231915184,41.55120252098008,1
47895,47896,40,Female,USA,Laptop,47.56,9.11,5,56.97462755221332,258.0504800606702,2,8,1,102.37,0.86,4.623252400303351,58.961226383622254,0
47896,47897,26,Female,India,Mobile,42.04,3.07,10,40.225151966324056,260.7913814900816,0,10,7,72.24,1.0,3.624956907450408,33.734777038065545,0
47898,47899,45,Male,Canada,Laptop,37.5,13.05,12,64.38556176492798,462.09987982156576,3,11,7,78.78,0.89,8.225499399107829,51.76096393358031,0
47900,47901,34,Male,Canada,Laptop,41.95,8.3,5,18.617422282341003,338.9912990978793,2,13,2,65.91,0.85,4.9849564954893975,32.81877745302256,0
47901,47902,44,Male,India,Mobile,72.18,13.78,1,27.961752672356216,295.6148909653474,9,6,4,56.31,0.61,8.212074454826736,30.09885995602652,0
47903,47904,48,Male,Canada,Laptop,53.6,13.95,3,27.32221298896425,182.4525362899608,4,3,7,66.45,0.96,7.297262681449804,33.57011801603249,0
47905,47906,25,Male,India,Tablet,58.98,10.49,7,18.87601192458047,339.101841276944,5,13,1,51.85,0.45,6.04250920638472,19.3846029593352,1
47907,47908,23,Male,USA,Laptop,64.94,8.53,4,38.427526251715896,274.5806571652885,2,8,4,72.76,0.62,5.131903285826443,42.03135739030653,0
47908,47909,34,Female,Canada,Mobile,68.88,13.96,2,31.741388989090908,161.67187438006755,1,13,6,60.42,0.44,6.3963593719003375,18.804051928657262,1
47910,47911,21,Female,India,Tablet,30.13,13.17,12,12.67529397078863,401.212523991552,5,2,5,66.17,0.69,7.957062619957759,35.19489260702199,0
47911,47912,38,Male,Canada,Laptop,51.59,10.7,14,36.40550246905247,6.563236626369076,5,7,6,80.42,0.5,5.442816183131845,44.969423401564384,1
47912,47913,32,Female,USA,Tablet,45.18,14.68,8,34.82896634910772,417.9928997963312,6,7,6,73.95,0.67,8.893964498981656,41.19045441840224,0
47913,47914,27,Male,India,Laptop,45.33,9.48,12,16.872749670822266,456.03139692325135,7,6,6,91.42,0.43,7.724156984616257,43.74205905905541,1
47916,47917,39,Male,USA,Laptop,48.41,15.4,10,49.0146173762419,152.97996902127895,5,8,1,54.99,0.73,6.584899845106395,30.07691959100696,0
47917,47918,18,Female,Canada,Laptop,50.37,17.24,6,18.805195500680156,144.576774258903,1,8,5,88.69,0.82,7.094883871294515,47.29075310786702,0
47918,47919,42,Male,India,Tablet,37.96,6.17,6,37.1469862004913,220.3272434560854,9,8,1,56.21,0.52,4.952636217280428,27.56517725359883,1
47921,47922,26,Female,Canada,Mobile,46.92,-0.19,5,32.57389338898063,332.6515009507863,2,4,2,94.3,0.66,2.406257504753932,51.33874124220897,0
47922,47923,45,Female,USA,Tablet,64.31,10.93,11,32.231869268040555,259.0341724820208,2,7,2,81.27,0.65,5.3741708624101046,44.27289843176865,0
47923,47924,43,Male,USA,Tablet,36.01,10.93,8,36.997500935913216,345.0771812651982,5,3,5,87.18,0.83,7.004385906325991,55.72921291137089,0
47924,47925,22,Male,USA,Mobile,52.59,5.99,13,28.35991115860182,419.0039940626665,6,2,5,66.14,0.62,6.092019970313332,32.62260150233072,0
47935,47936,37,Female,India,Tablet,63.9,5.35,13,-8.399966224170512,346.55932499018064,8,13,5,72.43,0.91,5.937796624950903,38.73384520944165,0
47936,47937,33,Male,USA,Mobile,53.36,9.19,5,28.13201789569256,225.3340196026953,2,12,3,98.83,0.51,4.883670098013477,59.97830291520157,1
47937,47938,45,Male,India,Laptop,30.23,5.55,14,49.40242449270934,282.2112066021485,9,6,5,57.84,0.8,5.876056033010742,40.64951681645383,0
47939,47940,46,Male,Canada,Mobile,53.47,12.83,11,26.17891041365175,293.5416275220041,3,6,4,48.16,0.49,6.716708137610021,24.365717940332164,1
47940,47941,35,Female,USA,Mobile,48.59,16.45,13,38.37752998425335,211.34248827798564,9,6,6,100.96,0.52,8.991712441389929,58.53746816612556,1
47942,47943,25,Male,USA,Laptop,57.3,12.53,10,27.019966857981775,158.0698961397242,7,5,2,72.41,0.84,6.349349480698621,32.56774395473198,0
47945,47946,34,Male,Canada,Laptop,71.4,17.42,11,30.16056377537911,285.3849481661851,4,8,4,51.45,0.42,8.252924740830926,38.83817637517158,1
47946,47947,27,Male,India,Mobile,19.09,12.94,1,40.71672090389332,303.5395961359069,0,6,5,72.53,0.96,6.399697980679534,33.742962268546606,0
47947,47948,30,Male,India,Mobile,31.09,7.19,1,47.6351853763685,187.76837795391396,6,14,5,48.82,0.84,5.295841889769569,29.877756153521524,0
47948,47949,32,Female,India,Tablet,46.53,8.12,13,42.52905066179226,254.39000164505603,0,12,2,42.03,0.98,4.10795000822528,22.153042569161528,0
47949,47950,26,Female,Canada,Tablet,33.38,11.08,14,19.27286189352426,185.2927241990816,7,7,3,60.85,0.65,6.250463620995408,33.138169591299295,0
47951,47952,25,Female,India,Tablet,55.89,11.87,10,74.09453476097619,363.2024499607924,1,13,2,88.07,0.71,5.977012249803962,41.38717249210989,0
47952,47953,23,Female,USA,Tablet,50.56,13.25,5,39.26808987317375,261.415615784912,5,6,2,59.76,0.93,6.68207807892456,17.35163248574882,0
47953,47954,21,Female,USA,Tablet,55.68,14.05,10,35.16619899650565,261.5059332574299,3,10,3,57.41,0.54,6.72252966628715,43.101396968713246,1
47957,47958,43,Female,India,Laptop,43.64,14.21,8,23.275724092895874,213.20011259578743,8,1,4,72.6,0.4,7.729000562978936,30.61719543790473,1
47958,47959,21,Male,India,Laptop,35.26,5.1,4,47.850460997067465,360.8335655160071,8,11,6,42.26,0.77,6.134167827580035,20.277172688231403,0
47961,47962,37,Female,USA,Mobile,65.66,13.39,3,31.27304898361221,360.11783748821057,3,3,2,51.21,0.6,6.817589187441053,29.02356477497096,0
47963,47964,25,Female,Canada,Tablet,44.73,4.92,11,58.115292287777606,286.39816531547643,9,1,3,47.84,0.61,5.307990826577383,31.90404152315395,0
47964,47965,42,Male,Canada,Mobile,65.56,9.81,11,36.13646664255207,137.61324710903915,4,10,1,88.2,0.73,4.631066235545196,43.334184870619325,0
47965,47966,31,Male,Canada,Tablet,56.69,11.86,14,37.854597701686345,353.1733393213508,8,7,4,49.5,0.88,7.723866696606753,33.81935848786626,0
47966,47967,31,Male,India,Laptop,17.29,10.81,13,45.96959769336353,529.8875359365217,2,5,7,88.19,0.8,7.692437679682609,52.19018453789879,0
47967,47968,33,Male,Canada,Laptop,69.33,7.19,12,34.667718850497835,263.3322802982116,3,9,2,53.91,0.65,4.473661401491059,27.09602078029989,0
47970,47971,19,Female,India,Laptop,69.37,13.23,9,19.80393209468663,453.16704164283055,8,9,7,81.63,0.98,9.234835208214152,47.72964007575639,0
47973,47974,37,Female,India,Mobile,70.89,10.62,12,58.3891473624451,104.35944263577969,7,6,1,72.68,0.52,5.307797213178898,36.4667428218221,1
47974,47975,18,Female,India,Laptop,53.73,15.4,2,24.978083373107022,223.3625003248958,0,3,2,73.05,0.68,6.13681250162448,35.953882185697786,0
47975,47976,28,Female,Canada,Mobile,59.09,8.18,11,9.628688915635806,199.0523372134107,7,7,2,57.35,0.97,5.249261686067054,24.97797640088456,0
47976,47977,23,Female,India,Laptop,54.79,11.76,14,47.46727876479556,177.42294990764918,7,14,5,79.78,0.51,6.815114749538246,42.864234166430826,1
47979,47980,29,Female,USA,Tablet,53.08,7.41,6,10.470543464994591,483.3602226513518,0,3,5,69.0,0.54,5.639801113256759,32.94552046830777,1
47983,47984,40,Male,India,Mobile,37.12,9.23,4,50.5652974770087,102.5584918977163,2,13,6,86.53,0.95,4.881792459488581,55.94711249281434,0
